电影名称,上映年份,评分,地区,简介
浪潮,2008,8.7,德国,世界离独裁只有五天。
冰川时代,2002,8.4,美国,松鼠才是角儿。
7号房的礼物,2013,8.7,韩国,《我是山姆》的《美丽人生》。
撞车,2004,8.6,美国 德国,天使与魔鬼的冲撞。
哈利·波特与死亡圣器(下),2011,8.6,美国 英国,10年的完美句点。
花样年华,2000,8.4,香港 法国,偷情本没有这样美。
朗读者,2008,8.5,美国 德国,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 
追随,1998,9,英国,诺兰的牛逼来源于内心散发出的恐惧。
一次别离,2011,8.7,伊朗 法国,只有有信仰的人才能说出事实真相。
碧海蓝天,1988,8.7,法国 美国 意大利,在那片深蓝中，感受来自大海的忧伤寂寞与美丽自由。
秒速5厘米,2007,8.4,日本,青春就是放弃和怀念。
罗生门,1950,8.7,日本,人生的N种可能性。
梦之安魂曲,2000,8.7,美国,一场没有春天的噩梦。
战争之王,2005,8.5,美国 法国,做一颗让别人需要你的棋子。
可可西里,2004,8.6,中国大陆 香港,坚硬的信仰。
心迷宫,2014,8.6,中国大陆,none
唐伯虎点秋香,1993,8.3,香港,华太师是黄霑，吴镇宇四大才子之一。
超能陆战队,2014,8.6,美国,none
时空恋旅人,2013,8.6,英国,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。
海盗电台,2009,8.6,英国 德国 法国,生命不止，摇滚不死。
谍影重重2,2004,8.5,美国 德国,谁说王家卫镜头很晃
谍影重重,2002,8.5,美国 德国 捷克,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。
蝙蝠侠：黑暗骑士崛起,2012,8.5,美国 英国,诺兰就是保证。
阿飞正传,1990,8.5,香港,王家卫是一种风格，张国荣是一个代表。
荒蛮故事,2014,8.7,阿根廷 西班牙,none
地球上的星星,2007,8.8,印度,天使保护事件始末。
小森林 冬春篇,2015,8.9,日本,none
迁徙的鸟,2001,9.1,法国 德国 意大利 西班牙 瑞士,最美的飞翔。
荒野生存,2007,8.6,美国,出门必备：本草纲目。
恐怖游轮,2009,8.3,英国 澳大利亚,不要企图在重复中寻找已经失去的爱。
绿里奇迹,1999,8.7,美国,天使暂时离开。
勇闯夺命岛,1996,8.5,美国,类型片的极致。 
惊魂记,1960,8.8,美国,故事的反转与反转，分裂电影的始祖。
达拉斯买家俱乐部,2013,8.6,美国,Jared Leto的腿比女人还美！
魔女宅急便,1989,8.4,日本,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。
再次出发之纽约遇见你,2013,8.5,美国,爱我就给我看你的播放列表。
卡萨布兰卡,1942,8.6,美国,与同名歌曲无关。
爆裂鼓手,2014,8.6,美国,none
燕尾蝶,1996,8.6,日本,现实与童话交相辉映的旅程。
未麻的部屋,1997,8.8,日本,好的剧本是，就算你猜到了结局也猜不到全部。
东京物语,1953,9.2,日本,东京那么大，如果有一天走失了，恐怕一辈子不能再相见。
牯岭街少年杀人事件,1991,8.7,台湾,弱者送给弱者的一刀。
这个男人来自地球,2007,8.5,美国,科幻真正的魅力不是视觉效果能取代的。 
英国病人,1996,8.4,美国 英国,"In memory, love lives forever..."
变脸,1997,8.4,美国,当发哥的风衣、墨镜出现在了凯奇身上
被解救的姜戈,2012,8.5,美国,热血沸腾，那个低俗、性感的无耻混蛋又来了。
终结者2：审判日,1991,8.5,美国 法国,少见的超越首部的续集，动作片中的经典。
末路狂花,1991,8.7,美国 法国,没有了退路，只好飞向自由。
E.T. 外星人,1982,8.5,美国,生病的E.T.皮肤的颜色就像柿子饼。
叫我第一名,2008,8.6,美国,乐观比一切都有力量。
忠犬八公物语,1987,9,日本,养狗三日，便会对你终其一生。
哪吒闹海,1979,8.8,中国大陆,想你时你在闹海。
发条橙,1971,8.4,英国 美国,我完全康复了。
青蛇,1993,8.4,香港,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。
穆赫兰道,2001,8.3,法国 美国,大卫·林奇的梦境迷宫。
源代码,2011,8.3,美国 加拿大,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。
新龙门客栈,1992,8.4,香港 中国大陆,嬉笑怒骂，调风动月。
黑客帝国3：矩阵革命,2003,8.5,美国 澳大利亚,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。
黄金三镖客,1966,9.1,意大利 西班牙 西德,最棒的西部片。
非常嫌疑犯,1995,8.6,德国 美国,我不信仰上帝，但我敬畏上帝。
美国丽人,1999,8.4,美国,每个人的内心都是深不可测的大海。 
上帝也疯狂,1980,8.6,博茨瓦纳 南非,纯净原始的笑与感动。
城市之光,1931,9.2,美国,永远的小人物，伟大的卓别林。
无耻混蛋,2009,8.4,美国 德国,昆汀同学越来越变态了，比北野武还杜琪峰。
初恋这件小事,2010,8.2,泰国,黑小鸭速效美白记。
勇士,2011,8.9,美国,热血沸腾，相当完美的娱乐拳击大餐。
爱·回家,2002,9,韩国,献给所有外婆的电影。
蓝色大门,2002,8.2,台湾 法国,青春的窃窃私语。 
曾经,2006,8.3,爱尔兰,有些幸福无关爱情。
无敌破坏王,2012,8.6,美国,迪士尼和皮克斯拿错剧本的产物。
麦兜故事,2001,8.5,香港,麦兜是一只很哲学的猪。 
暖暖内含光,2004,8.4,美国,恋爱是一次神经的冒险。就算失去记忆，也会爱上你。
蝴蝶,2002,8.6,法国,我们长途跋涉寻找的东西，有可能一直就在身边。 
大卫·戈尔的一生,2003,8.7,美国 德国 英国,捍卫人权只是信仰，一点不妨碍其行为的残忍。
与狼共舞,1990,8.9,美国,充满诗意与情怀的史诗作品。 
血钻,2006,8.5,美国 德国,每个美丽事物背后都是滴血的现实。
模仿游戏,2014,8.5,英国 美国,none
国王的演讲,2010,8.3,英国 澳大利亚 美国,皇上无话儿。
遗愿清单,2007,8.5,美国,用剩余不多的时间，去燃烧整个生命。
巴黎淘气帮,2009,8.6,法国 比利时,四百击的反面。
偷拐抢骗,2000,8.5,英国 美国,典型盖·里奇式的英国黑色幽默黑帮片。
荒岛余生,2000,8.4,美国,一个人的独角戏。
夜访吸血鬼,1994,8.3,美国,弥漫淡淡血腥气的优雅。
疯狂的石头,2006,8.2,中国大陆 香港,中国版《两杆大烟枪》。
枪火,1999,8.6,香港,一群演技精湛的戏骨，奉献出一个精致的黑帮小品，成就杜琪峰群戏的巅峰之作。
千钧一发,1997,8.7,美国,一部能引人思考的科幻励志片。
中央车站,1998,8.7,巴西 法国,心灵救赎。
爱在暹罗,2007,8.3,泰国,把爱放在心底，有爱就有希望。
爱在午夜降临前,2013,8.7,美国,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。
月球,2009,8.5,英国,2009媲美《第九区》的又一部科幻神作。
寿司之神,2011,8.8,美国,仪式主义的狂欢，偏执狂的完胜。
我爱你,2011,9,韩国,你要相信，这世上真的有爱存在，不管在什么年纪 
两小无猜,2003,8.1,法国 比利时,"Love me, if you dare. "
罪恶之城,2005,8.4,美国,权力不是来自枪和子弹，权力来自谎言。
廊桥遗梦,1995,8.5,美国,这样确切的爱，一生只有一次。
假如爱有天意,2003,8.2,韩国,琼瑶阿姨在韩国的深刻版。
黑鹰坠落,2001,8.5,美国,还原真实而残酷的战争。
角斗士,2000,8.4,英国 美国,罗马斗兽场的鸦雀无声，久久停留在这样的肃穆中。
